url,brand,name,has_ingredients,has_nutrition,food_type
https://www.zooplus.com/shop/dogs/canned_dog_food/purizon_wet_dog_food/organic/1870766?activeVariant=1870766.3,Purizon Wet Dog Food,Purizon Organic 6 x 800g,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/mjamjam_wet_dog_food/mjamjam_single_protein/1995722?activeVariant=1995722.2,Mjamjam Wet Dog Food,MjAMjAM Pure Single Meat 6 x 800g,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/animonda/vomfeinsten/128690?activeVariant=128690.5,Animonda,animonda vom Feinsten Junior 6 x 150g,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/applaws/applaws_cans/2340721?activeVariant=2340721.0,Applaws,Applaws Puppy Taste Toppers in Broth 6 x 156g,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/macs/1861169?activeVariant=1861169.0,Macs,MAC's Superfood 6 x 800g,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/purizon_wet_dog_food/organic/1870765?activeVariant=1870765.3,Purizon Wet Dog Food,Purizon Organic 6 x 200g,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/purizon_wet_dog_food/organic/1870765?activeVariant=1870765.5,Purizon Wet Dog Food,Purizon Organic 6 x 200g,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/mjamjam_wet_dog_food/mjamjam_single_protein/1995722?activeVariant=1995722.4,Mjamjam Wet Dog Food,MjAMjAM Pure Single Meat 6 x 800g,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/lukullus/junior/335237?activeVariant=335237.0,Lukullus,Lukullus Junior Chicken & Veal,False,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/royal_canin/size/2069279?activeVariant=2069279.2,Royal Canin,Royal Canin Medium Adult in Loaf,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/alpha_spirit/1970065?activeVariant=1970065.4,Alpha Spirit,alpha spirit Dog Meatballs 6 x 400g,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/alpha_spirit/1970065?activeVariant=1970065.5,Alpha Spirit,alpha spirit Dog Meatballs 6 x 400g,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/purizon_wet_dog_food/organic/1870835?activeVariant=1870835.1,Purizon Wet Dog Food,Purizon Organic 6 x 400g,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/advance_veterinary_diets/hypoallergenic/2239129?activeVariant=2239129.0,Advance Veterinary Diets,Advance Veterinary Diets Hypoallergenic,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/advance_veterinary_diets/hypoallergenic/2239129?activeVariant=2239129.7,Advance Veterinary Diets,Advance Veterinary Diets Hypoallergenic,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/rinti/rinti_trays/400781?activeVariant=400781.9,Rinti,RINTI Finest 11 x 150g,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/wiejska_zagroda/1901655?activeVariant=1901655.8,Wiejska Zagroda,Wiejska Zagroda Dog 12 x 400g,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/lukullus/lukullus_pouches/1415140?activeVariant=1415140.1,Lukullus,Lukullus Natural Adult Mini Grain-free Pouches 6 x 150g,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/purizon_wet_dog_food/adult/1549511?activeVariant=1549511.5,Purizon Wet Dog Food,Purizon Adult 6 x 300g,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/purizon_wet_dog_food/adult/1217468?activeVariant=1217468.1,Purizon Wet Dog Food,Purizon Adult 6 x 400g,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/pedigree_pur/pouches/598164?activeVariant=598164.10,Pedigree Pur,Pedigree Junior Pouch in Jelly,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/terra_canis/2178331?activeVariant=2178331.0,Terra Canis,Terra Canis Essential 8+ 6 x 385 g,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/pedigree_pur/pouches/598164?activeVariant=598164.9,Pedigree Pur,Pedigree Junior Pouch in Jelly,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/rinti/rinti_pouches/1998829?activeVariant=1998829.8,Rinti,RINTI Filetto Pouch in Jelly 24 x 100g,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/rocco/single_meat/1874716?activeVariant=1874716.3,Rocco,Rocco Single Meat 6 x 400g,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/rocco/rocco_junior/128757?activeVariant=128757.4,Rocco,Rocco Junior 6 x 400g,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/briantos/briantos_chunks_in_gravy/2027073?activeVariant=2027073.5,Briantos,Briantos Chunks in Gravy 6 x 415g,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/briantos/briantos_chunks_in_gravy/2027073?activeVariant=2027073.0,Briantos,Briantos Chunks in Gravy 6 x 415g,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/purizon_wet_dog_food/singlemeat/1958287?activeVariant=1958287.0,Purizon Wet Dog Food,Purizon Single Meat 6 x 400g,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/purizon_wet_dog_food/trial_packs/1217191?activeVariant=1217191.0,Purizon Wet Dog Food,Purizon Adult Mixed Packs,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/purizon_wet_dog_food/adult/1958879?activeVariant=1958879.3,Purizon Wet Dog Food,Purizon Superfoods 6 x 140g,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/purizon_wet_dog_food/adult/1958879?activeVariant=1958879.2,Purizon Wet Dog Food,Purizon Superfoods 6 x 140g,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/royal_canin_care_nutrition/776817?activeVariant=776817.0,Royal Canin Care Nutrition,Royal Canin Sterilised Loaf,True,False,wet
