product_key,product_name,brand,product_url
155444|12kg_iams_advanced_nutrition_dry_dog_food_10kg_2kg_free_|dry,12kg IAMS Advanced Nutrition Dry Dog Food - 10kg + 2kg Free! *,155444,https://www.zooplus.com/shop/dogs/dry_dog_food/155444/853523?activeVariant=853523.12
eukanuba|eukanuba_daily_care_mono-protein_with_duck|dry,Daily Care Mono-Protein with Duck,Eukanuba,https://www.zooplus.com/shop/dogs/dry_dog_food/eukanuba/eukanuba_special_care/1849031?activeVariant=1849031.1
eukanuba|eukanuba_medium_breed_adult_-_weight_control|dry,Medium Breed Adult - Weight Control,Eukanuba,https://www.zooplus.com/shop/dogs/dry_dog_food/eukanuba/light/128056?activeVariant=128056.13
eukanuba|eukanuba_small_&_medium_breed_adult_-_lamb_&_rice|dry,Small & Medium Breed Adult - Lamb & Rice,Eukanuba,https://www.zooplus.com/shop/dogs/dry_dog_food/eukanuba/adult/128036?activeVariant=128036.13
eukanuba|eukanubacaringseniorlargebreedchicken|dry,Eukanuba Caring Senior Large Breed Chicken,Eukanuba,https://www.zooplus.com/shop/dogs/dry_dog_food/eukanuba/senior/701140?activeVariant=701140.3
eukanuba|eukanubacaringseniormediumbreedchicken|dry,Eukanuba Caring Senior Medium Breed Chicken,Eukanuba,https://www.zooplus.com/shop/dogs/dry_dog_food/eukanuba/senior/701032?activeVariant=701032.3
eukanuba|eukanubacaringseniorsmallbreedchicken|dry,Eukanuba Caring Senior Small Breed Chicken,Eukanuba,https://www.zooplus.com/shop/dogs/dry_dog_food/eukanuba/senior/701121?activeVariant=701121.4
eukanuba|eukanubadailycareadultmonoproteinwithsalmon|dry,Eukanuba Daily Care Adult Mono-Protein with Salmon,Eukanuba,https://www.zooplus.com/shop/dogs/dry_dog_food/eukanuba/eukanuba_special_care/1383230?activeVariant=1383230.1
eukanuba|eukanubadailycaremonoproteinwithduck|dry,Eukanuba Daily Care Mono-Protein with Duck,Eukanuba,https://www.zooplus.com/shop/dogs/dry_dog_food/eukanuba/eukanuba_special_care/1849031?activeVariant=1849031.1
farmina_n&d|farmina_n&d_grain_free_pumpkin_adult_medium_&_maxi_with_lamb_&_blueberry|dry,Grain Free Pumpkin Adult Medium & Maxi with Lamb & Blueberry,Farmina N&D,https://www.zooplus.com/shop/dogs/dry_dog_food/farmina/pumpkin/1584189?activeVariant=1584189.0
"farmina_n&d|farmina_n&d_ocean_salmon,_cod_&_melon_medium_&_maxi|dry","Ocean Salmon, Cod & Melon Medium & Maxi",Farmina N&D,https://www.zooplus.com/shop/dogs/dry_dog_food/farmina/ocean/1949798?activeVariant=1949798.0
farmina_n&d|farmina_n&d_prime_canine_chicken_&_pomegranate_puppy_medium/maxi|dry,Prime Canine Chicken & Pomegranate Puppy Medium/Maxi,Farmina N&D,https://www.zooplus.com/shop/dogs/dry_dog_food/farmina/prime/1949799?activeVariant=1949799.0
farmina_n&d|farmina_n&d_prime_grain_free_adult_medium_&_maxi_with_lamb_&_blueberry|dry,Prime Grain Free Adult Medium & Maxi with Lamb & Blueberry,Farmina N&D,https://www.zooplus.com/shop/dogs/dry_dog_food/farmina/prime/1584180?activeVariant=1584180.0
farmina_n&d|farmina_n&d_prime_grain_free_adult_medium_with_chicken_&_pomegranate|dry,Prime Grain Free Adult Medium with Chicken & Pomegranate,Farmina N&D,https://www.zooplus.com/shop/dogs/dry_dog_food/farmina/prime/1584181?activeVariant=1584181.0
farmina_n&d|farmina_n&d_prime_grain_free_mini_lamb_&_blueberries|dry,Prime Grain Free Mini Lamb & Blueberries,Farmina N&D,https://www.zooplus.com/shop/dogs/dry_dog_food/farmina/prime/1949691?activeVariant=1949691.1
farmina_n&d|farmina_vet_life_dog_ultrahypo|dry,Vet Life Dog Ultrahypo,Farmina N&D,https://www.zooplus.com/shop/dogs/dry_dog_food/farmina/vet_life/1948955?activeVariant=1948955.0
farmina_n&d|n&d_prime_grain_free_mini_chicken_&_pomegranate|dry,Prime Grain Free Mini Chicken & Pomegranate,Farmina N&D,https://www.zooplus.com/shop/dogs/dry_dog_food/farmina/prime/1948091
farmina|farmina_vet_life_dog_obesity|dry,Farmina Vet Life Dog Obesity,Farmina,https://www.zooplus.com/shop/dogs/dry_dog_food/farmina/vet_life/1948783?activeVariant=1948783.0
farminand|farminadoglowgrainchickenpomegranteadultmediumdog|dry,Farmina Dog Low Grain Chicken & Pomegrante Adult Medium Dog,Farmina N&D,https://www.zooplus.com/shop/dogs/dry_dog_food/farmina/ancestral_grain/1584215?activeVariant=1584215.0
farminand|farminandgrainfreeoceancodpumpkinorangemediummaxi|dry,"Farmina N&D Grain Free Ocean Cod, Pumpkin & Orange Medium & Maxi",Farmina N&D,https://www.zooplus.com/shop/dogs/dry_dog_food/farmina/ocean/1584191?activeVariant=1584191.0
farminand|farminandgrainfreepumpkinadultmediummaxiwithboarap|dry,Farmina N&D Grain Free Pumpkin Adult Medium & Maxi with Boar & Apple,Farmina N&D,https://www.zooplus.com/shop/dogs/dry_dog_food/farmina/pumpkin/1584188?activeVariant=1584188.0
farminand|farminandgrainfreepumpkinadultmediummaxiwithlambbl|dry,Farmina N&D Grain Free Pumpkin Adult Medium & Maxi with Lamb & Blueberry,Farmina N&D,https://www.zooplus.com/shop/dogs/dry_dog_food/farmina/pumpkin/1584189?activeVariant=1584189.0
farminand|farminandmediummaxipumpkinvenisonapple|dry,"Farmina N&D Medium/Maxi Pumpkin, Venison & Apple",Farmina N&D,https://www.zooplus.com/shop/dogs/dry_dog_food/farmina/pumpkin/1584198?activeVariant=1584198.0
farminand|farminandoceansalmoncodmelonmediummaxi|dry,"Farmina N&D Ocean Salmon, Cod & Melon Medium & Maxi",Farmina N&D,https://www.zooplus.com/shop/dogs/dry_dog_food/farmina/ocean/1949798?activeVariant=1949798.0
farminand|farminandprimegrainfreeadultmediummaxiwithlambblue|dry,Farmina N&D Prime Grain Free Adult Medium & Maxi with Lamb & Blueberry,Farmina N&D,https://www.zooplus.com/shop/dogs/dry_dog_food/farmina/prime/1584180?activeVariant=1584180.0
farminand|farminandprimegrainfreeadultmediumwithchickenpomeg|dry,Farmina N&D Prime Grain Free Adult Medium with Chicken & Pomegranate,Farmina N&D,https://www.zooplus.com/shop/dogs/dry_dog_food/farmina/prime/1584181?activeVariant=1584181.0
farminand|farminandprimegrainfreeminilambblueberries|dry,Farmina N&D Prime Grain Free Mini Lamb & Blueberries,Farmina N&D,https://www.zooplus.com/shop/dogs/dry_dog_food/farmina/prime/1949691?activeVariant=1949691.1
farminand|farminandquinoaweightmanagementlambquinoabroccolia|dry,"Farmina N&D Quinoa Weight Management Lamb, Quinoa, Broccoli & Asparagus Dog",Farmina N&D,https://www.zooplus.com/shop/dogs/dry_dog_food/farmina/quinoa/1948017?activeVariant=1948017.1
farminand|farminavetlifedogultrahypo|dry,Farmina Vet Life Dog Ultrahypo,Farmina N&D,https://www.zooplus.com/shop/dogs/dry_dog_food/farmina/vet_life/1948955?activeVariant=1948955.0
farminand|ndprimegrainfreeminichickenpomegranate|dry,N&D Prime Grain Free Mini Chicken & Pomegranate,Farmina N&D,https://www.zooplus.com/shop/dogs/dry_dog_food/farmina/prime/1948091
fitactive|fitactive_croq_premium_beef_&_rice|dry,CROQ Premium Beef & Rice,FitActive,https://www.zooplus.com/shop/dogs/dry_dog_food/fitactive/adult/1997638?activeVariant=1997638.1
fitactive|fitactive_croq_premium_lamb_&_rice|dry,CROQ Premium Lamb & Rice,FitActive,https://www.zooplus.com/shop/dogs/dry_dog_food/fitactive/adult/1997719?activeVariant=1997719.0
fitactive|fitactivecroqpremiumbeefrice|dry,FitActive CROQ Premium Beef & Rice,Fitactive,https://www.zooplus.com/shop/dogs/dry_dog_food/fitactive/adult/1997638?activeVariant=1997638.1
fitactive|fitactivecroqpremiumlambrice|dry,FitActive CROQ Premium Lamb & Rice,Fitactive,https://www.zooplus.com/shop/dogs/dry_dog_food/fitactive/adult/1997719?activeVariant=1997719.0
fitactive|fitactiveoriginalsadultregularbeef|dry,FitActive Originals Adult Regular Beef,Fitactive,https://www.zooplus.com/shop/dogs/dry_dog_food/fitactive/adult/2002695?activeVariant=2002695.2
fokker|fokkerdogfishfit|dry,Fokker Dog Fish Fit,Fokker,https://www.zooplus.com/shop/dogs/dry_dog_food/fokker/1583785?activeVariant=1583785.0
fokker|fokkerprimaquality|dry,Fokker Prima Quality,Fokker,https://www.zooplus.com/shop/dogs/dry_dog_food/fokker/1584369?activeVariant=1584369.0
forza10|forza10_bio_all_breeds_vegetal_with_seaweed_croquettes_for_dogs|dry,Bio All Breeds Vegetal with Seaweed Croquettes for Dogs,Forza10,https://www.zooplus.com/shop/dogs/dry_dog_food/forza10/every_day/1947503?activeVariant=1947503.1
