aadf_brand_raw,aadf_brand_normalized,aadf_product_name,aadf_form,aadf_key,match_score,exact_key_match,canonical_brand,canonical_product_name,canonical_key,canonical_form
Taste,Taste,of the wild high prairie grain free,dry,taste|of_the_wild_high_prairie_grain_free|dry,0.0,False,,,,
Wagg,Wagg,worker,wet,wagg|worker|wet,0.0,False,,,,
Walker,Walker,and drake working dog,dry,walker|and_drake_working_dog|dry,0.0,False,,,,
Vets,Vets,kitchen grow and develop,wet,vets|kitchen_grow_and_develop|wet,0.0,False,,,,
Grub,Grub,club all day buffet,dry,grub|club_all_day_buffet|dry,0.0,False,,,,
Autarky,Autarky,grain free,wet,autarky|grain_free|wet,0.5405405405405406,False,Autarky,Grain Free Tasty White Fish,autarky|grain_free_tasty_white_fish|dry,dry
Millies Wolfheart,Millies Wolfheart,hunter mix,dry,millies_wolfheart|hunter_mix|dry,0.0,False,,,,
Lovejoys,Lovejoys,original,wet,lovejoys|original|wet,0.0,False,,,,
Canagan,Canagan,grain free,wet,canagan|grain_free|wet,0.5,False,Canagan,Grass Fed Lamb,canagan|grass_fed_lamb|dry,dry
Growling,Growling,tums,dry,growling|tums|dry,0.0,False,,,,
Pro Plan,Pro Plan,and mini 9 optiage,wet,pro_plan|and_mini_9_optiage|wet,0.0,False,,,,
Burns,Burns,original and rice,dry,burns|original_and_rice|dry,0.8380952380952381,False,Burns,Original Lamb  Brown Rice,burns|original_lamb__brown_rice|dry,dry
Vitalin,Vitalin,original,dry,vitalin|original|dry,0.0,False,,,,
Wainwrights,Wainwrights,grain free,wet,wainwrights|grain_free|wet,0.0,False,,,,
Skinners,Skinners,field and trial maintenance plus,wet,skinners|field_and_trial_maintenance_plus|wet,0.0,False,,,,
Forthglade,Forthglade,cold pressed grain free,wet,forthglade|cold_pressed_grain_free|wet,0.5714285714285714,False,Forthglade,Salmon Cold Pressed,forthglade|salmon_cold_pressed|unknown,dry
Nutriment,Nutriment,low purine and phosphorus support,raw,nutriment|low_purine_and_phosphorus_support|raw,0.0,False,,,,
Chapel,Chapel,farm,wet,chapel|farm|wet,0.0,False,,,,
Boost,Boost,fresh food trays,wet,boost|fresh_food_trays|wet,0.40816326530612246,False,Boost,Hearty Meat Feast with Superfoods,boost|hearty_meat_feast_with_superfoods|unknown,dry
Harringtons,Harringtons,grain free,wet,harringtons|grain_free|wet,0.0,False,,,,
Dachshund,Dachshund,superfood,raw,dachshund|superfood|raw,0.42857142857142855,False,Dachshund,Superfood Free Range Turkey Adult,dachshund|superfood_free_range_turkey_adult|unknown,dry
Farmina Natural,Farmina Natural,and delicious ancestral grain mini and,dry,farmina_natural|and_delicious_ancestral_grain_mini_and|dry,0.0,False,,,,
Walker,Walker,and drake cold pressed,wet,walker|and_drake_cold_pressed|wet,0.0,False,,,,
Eukanuba,Eukanuba,thriving mature,wet,eukanuba|thriving_mature|wet,0.2777777777777778,False,Eukanuba,Adult German Shepherd,eukanuba|adult_german_shepherd|unknown,dry
Royal Canin,Royal Canin,dalmatian,wet,royal_canin|dalmatian|wet,0.0,False,,,,
Growling,Growling,tums light,dry,growling|tums_light|dry,0.0,False,,,,
Natures Deli,Natures Deli,grain free,wet,natures_deli|grain_free|wet,0.0,False,,,,
Husse,Husse,mild cold pressed,wet,husse|mild_cold_pressed|wet,0.0,False,,,,
Country,Country,kibble grain free and,dry,country|kibble_grain_free_and|dry,0.0,False,,,,
Leader,Leader,slimline,wet,leader|slimline|wet,0.0,False,,,,
Leader,Leader,sensitive,wet,leader|sensitive|wet,0.0,False,,,,
Wilko,Wilko,complete,wet,wilko|complete|wet,0.0,False,,,,
