web-scraper-order,web-scraper-start-url,pagination-selector,data-page-selector,data-page-selector-href,image-0-src,text-1,text-2,text-3,text-4
"1757708550-2715","https://www.zooplus.com/shop/dogs/dry_dog_food","","Royal Canin Golden Retriever Puppy 3kg","https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_breed/golden_retriever/209431?activeVariant=209431.12","https://media.zooplus.com/bilder/2/400/84609_pla_royalcanin_puppyhund_goldenretriever_2.jpg","Royal Canin Golden Retriever Puppy","","","Wholesome dry dog food for Golden Retriever puppies up to 15 months, with borage and fish oils alongside highly-digestible L.I.P. proteins, with a patented antioxidant complex with vitamin E."
"1757708552-2716","https://www.zooplus.com/shop/dogs/dry_dog_food","","Hill's Prescription Diet Canine Derm Defense Skin Care - Chicken 6.5kg","https://www.zooplus.com/shop/dogs/dry_dog_food/hills_prescription/allergies_intolerances/626085?activeVariant=626085.6","https://media.zooplus.com/bilder/8/400/56_pd_derm_defense_dog_bk27176m_plp_uk_8.jpg","Hill's Prescription Diet Canine Derm Defense Skin Care - Chicken","","","This dry dog food has been formulated to nourish and soothe the skin & coat of dogs with dermatosis or hair loss. Helps strengthen the skin barrier and protects against environmental allergens."
"1757708555-2717","https://www.zooplus.com/shop/dogs/dry_dog_food","","Royal Canin Veterinary Canine Sensitivity Control Economy Pack: 2 x 14kg","https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_vet_diet/398089?activeVariant=398089.4","https://media.zooplus.com/bilder/2/400/rc_vet_dry_dogsensctrl_mv_eretailkit_1_de_de_2.jpg","Royal Canin Veterinary Canine Sensitivity Control","","","zooplus choice"
"1757708557-2718","https://www.zooplus.com/shop/dogs/dry_dog_food","","Purina Pro Plan Veterinary Diets Canine HA Hypoallergenic 7kg","https://www.zooplus.com/shop/dogs/dry_dog_food/purina_vet_diet/583018?activeVariant=583018.8","https://media.zooplus.com/bilder/5/400/589296_pla_purina_pro_plan_veterinary_diets_ha_hypoallergenic_7kg_hs_01_5.jpg","Purina Pro Plan Veterinary Diets Canine HA Hypoallergenic","","","zooplus choice"
"1757708560-2719","https://www.zooplus.com/shop/dogs/dry_dog_food","","Hill's Prescription Diet Canine k/d Kidney Care Economy Pack: 2 x 12kg","https://www.zooplus.com/shop/dogs/dry_dog_food/hills_prescription/renal/344183?activeVariant=344183.3","https://media.zooplus.com/bilder/5/400/57809_pla_hills_prescriptiondiet_kd_kidneycare_hundefutter_original_hs_01_5.jpg","Hill's Prescription Diet Canine k/d Kidney Care","","","Dietetic complete food for adult dogs with chronic or acute kidney insufficiency, supporting kidney function and improved quality of life, with a reduced phosphorus and protein content."
"1757708562-2720","https://www.zooplus.com/shop/dogs/dry_dog_food","","Hill's Science Plan Adult 1-6 Light Small & Mini with Chicken 6kg","https://www.zooplus.com/shop/dogs/dry_dog_food/hills_science_plan/hills_light/296640?activeVariant=296640.4","https://media.zooplus.com/bilder/9/400/105735_pla_hill_s_scienceplan_adult_small_mini_light_chicken_1_5kg_hs_01_9.jpg","Hill's Science Plan Adult 1-6 Light Small & Mini with Chicken","","","Reduced-calorie dry food for small breed adult dogs, helping to support weight control and leave your dog feeling full and satisfied, enriched with antioxidants, omega fatty acids and vitamin E."
"1757708565-2721","https://www.zooplus.com/shop/dogs/dry_dog_food","","Royal Canin Dachshund Puppy 1.5kg","https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_breed/dachshund/207992?activeVariant=207992.7","https://media.zooplus.com/bilder/6/400/84603_pla_royalcanin_puppyhund_dachshund_6.jpg","Royal Canin Dachshund Puppy","","","Dry dog food for growing Dachshund puppies up to the age of 10 months, with highly-digestible proteins and prebiotics (FOS) alongside an antioxidant complex, in a tailored kibble."
"1757708567-2722","https://www.zooplus.com/shop/dogs/dry_dog_food","","Briantos Adult Chicken & Rice 14kg","https://www.zooplus.com/shop/dogs/dry_dog_food/briantos/briantos_adult/527604?activeVariant=527604.1","https://media.zooplus.com/bilder/9/400/briantos_adult_chickenrice_14kg_1000x1000_9.jpg","Briantos Adult Chicken & Rice","","","Balanced, premium-quality dry food from Germany, with easily digestible chicken and rice, full of flavour and ideal for adult dogs with normal activity levels, with a high meat content."
"1757708569-2723","https://www.zooplus.com/shop/dogs/dry_dog_food","","Hill’s Prescription Diet Canine c/d Multicare Urinary + Metabolic 1.5kg","https://www.zooplus.com/shop/dogs/dry_dog_food/hills_prescription/urinary/989149?activeVariant=989149.3","","Hill’s Prescription Diet Canine c/d Multicare Urinary + Metabolic","","","Dietetic dry food for adult dogs prone to urinary tract problems and obesity, helping to combat struvite stones, support weight control and support both urinary health and weight management."
"1757708572-2724","https://www.zooplus.com/shop/dogs/dry_dog_food","","Frolic Complete with Beef 7.8kg (3 x 2.6kg)","https://www.zooplus.com/shop/dogs/dry_dog_food/frolic/437490?activeVariant=437490.5","https://media.zooplus.com/bilder/3/400/501798_pla_mars_frolic_rind_hs_01_3.jpg","Frolic Complete with Beef","","","A tasty dry food for adult dogs, with healthy vegetables and fresh beef. Contains essential vitamins and minerals for a balanced diet. With high fibre for optimal digestion."
"1757708574-2725","https://www.zooplus.com/shop/dogs/dry_dog_food","","Eukanuba Boxer Adult Economy Pack: 2 x 12kg","https://www.zooplus.com/shop/dogs/dry_dog_food/eukanuba/breed_nutrition/128074?activeVariant=128074.10","https://media.zooplus.com/bilder/6/400/169899_pla_tetragmbhiams_eukanuba_adult_breedspecific_boxer_12kg_hs_01_6.jpg","Eukanuba Boxer Adult","","","Complete dry food for adult Boxers over 1 year old, helping to support mobility and weight control with L-carnitine, glucosamine and taurine, as well as having a DentaDefense system."
"1757708577-2726","https://www.zooplus.com/shop/dogs/dry_dog_food","","Eukanuba Grain-Free Small & Medium Breed Puppy with Salmon 12kg","https://www.zooplus.com/shop/dogs/dry_dog_food/eukanuba/puppy_junior/1325943?activeVariant=1325943.3","","Eukanuba Grain-Free Small & Medium Breed Puppy with Salmon","","","Grain-free food for small and medium breed puppies, with a low-allergen recipe and fish as the sole source of animal protein, helping to support healthy growth and development."
"1757708579-2727","https://www.zooplus.com/shop/dogs/dry_dog_food","","PURINA PRO PLAN Small & Mini Adult Sensitive Skin 7kg","https://www.zooplus.com/shop/dogs/dry_dog_food/purina_pro_plan/adult/139568?activeVariant=139568.5","https://media.zooplus.com/bilder/8/400/99205_pla_purina_proplan_small_miniadult_sensitiveskin_optiderma_7kg_hs_01_8.jpg","PURINA PRO PLAN Small & Mini Adult Sensitive Skin","","","Dry food for adult dogs (1-9 years) of small & very small breeds up to 10 kg, ideal for sensitive skin, gluten-free, selected proteins, essential omega-3 fatty acids. Before: OPTIDERMA"
"1757708582-2728","https://www.zooplus.com/shop/dogs/dry_dog_food","","PURINA PRO PLAN Veterinary Diets DRM Dermatosis 12kg","https://www.zooplus.com/shop/dogs/dry_dog_food/purina_vet_diet/611779?activeVariant=611779.4","https://media.zooplus.com/bilder/0/400/235235_pla_nestle_purina_proplan_veterinarydiets_drm_dermatosis_12kg_hs_01_0.jpg","PURINA PRO PLAN Veterinary Diets DRM Dermatosis","","","This specialised diet helps keep skin healthy during dermatosis and excessive hair loss in dogs of all ages. It strengthens the skin’s barrier and the immune system, with anti-inflammatory effects."
"1757708584-2729","https://www.zooplus.com/shop/dogs/dry_dog_food","","Royal Canin Maxi Sterilised Economy Pack: 2 x 12kg","https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_care_nutrition/296056?activeVariant=296056.8","https://media.zooplus.com/bilder/3/400/94111_pla_royalcanin_ccn_maxi_sterilised_3.jpg","Royal Canin Maxi Sterilised","","","Specifically formulated for large breed (26-44kg), neutered adult dogs, this tasty dry food has increased protein levels and low fat content. With valuable L-carnitine to improve the fat burning process."
"1757708587-2730","https://www.zooplus.com/shop/dogs/dry_dog_food","","Purizon Puppy Large Breed Dog – Grain-Free Chicken & Fish 12kg","https://www.zooplus.com/shop/dogs/dry_dog_food/purizon/puppy_grainfree/688284?activeVariant=688284.10","https://media.zooplus.com/bilder/2/400/purizon_largepuppy_chickenfish_12kg_1000x1000_2.jpg","Purizon Puppy Large Breed Dog – Grain-Free Chicken & Fish","","","Ideal dry food nutrition for large breed puppies. The adjusted energy content helps support balanced growth and lots of fresh meat provides essential protein. 80% animal ingredients and 0% grain."
"1757708589-2731","https://www.zooplus.com/shop/dogs/dry_dog_food","","Royal Canin Pug Adult Economy Pack: 2 x 3kg","https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_breed/pug/209378?activeVariant=209378.9","https://media.zooplus.com/bilder/2/400/61161_pla_royalcanin_adulthund_pug_2.jpg","Royal Canin Pug Adult","","","Breed-specific dry dog food for adult Pugs over 10 months old, with a special kibble that is easy to chew and contains fish and borage oil to support the skin's natural barrier, with L.I.P. proteins."
"1757708592-2732","https://www.zooplus.com/shop/dogs/dry_dog_food","","Royal Canin Maxi Sterilised 12kg","https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_care_nutrition/296056?activeVariant=296056.7","https://media.zooplus.com/bilder/3/400/94111_pla_royalcanin_ccn_maxi_sterilised_3.jpg","Royal Canin Maxi Sterilised","","","Specifically formulated for large breed (26-44kg), neutered adult dogs, this tasty dry food has increased protein levels and low fat content. With valuable L-carnitine to improve the fat burning process."
